severity,role,nodeKey,kind,message
high,tank,tank_s1_s3_AOE_SLOW,nerf,"« Ralentissement de zone » apparaît souvent dans des builds au-dessus du percentile cible (76% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_AOE_PROVOKE,nerf,"« Provocation de zone » apparaît souvent dans des builds au-dessus du percentile cible (78% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_HEAL_ON_HIT,nerf,"« Soin au coup » apparaît souvent dans des builds au-dessus du percentile cible (59% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s2_act_ALLY_SHIELD,nerf,"« Bouclier allié » apparaît souvent dans des builds au-dessus du percentile cible (56% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,tank,tank_s1_s3_REGEN_PERCENT,nerf,"« Régén % » apparaît souvent dans des builds au-dessus du percentile cible (48% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s1_HEAL_SINGLE,nerf,"« Soin monocible » apparaît souvent dans des builds au-dessus du percentile cible (97% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s2_SUSTAIN,nerf,"« Soutien » apparaît souvent dans des builds au-dessus du percentile cible (100% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_STRONGER_AOE_HEAL,nerf,"« Soin de zone ++ » apparaît souvent dans des builds au-dessus du percentile cible (100% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s4_DOUBLE_BUFF,nerf,"« Double buff » apparaît souvent dans des builds au-dessus du percentile cible (64% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_mode_active,nerf,"« Compétence 2 active » apparaît souvent dans des builds au-dessus du percentile cible (68% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_act_CLEANSE,nerf,"« Purif » apparaît souvent dans des builds au-dessus du percentile cible (55% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_STRONGER_SINGLE_HEAL,nerf,"« Soin ciblé ++ » apparaît souvent dans des builds au-dessus du percentile cible (100% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s4_ALLY_CD_MINUS_1,nerf,"« CD −1 allié » apparaît souvent dans des builds au-dessus du percentile cible (71% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_mode_passive,nerf,"« Compétence 2 passive » apparaît souvent dans des builds au-dessus du percentile cible (72% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_pas_DEBUFF_RESIST_AURA,nerf,"« Résistance aux débuffs » apparaît souvent dans des builds au-dessus du percentile cible (71% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s1_CONTROL,nerf,"« Contrôle » apparaît souvent dans des builds au-dessus du percentile cible (53% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s2_BUFF,nerf,"« Buff » apparaît souvent dans des builds au-dessus du percentile cible (46% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_BUFF_EXTRA_AREA,nerf,"« Zone élargie » apparaît souvent dans des builds au-dessus du percentile cible (57% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s4_AOE_IMMUNITY,nerf,"« Immunité de zone » apparaît souvent dans des builds au-dessus du percentile cible (65% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s1_ATB_BOOST,nerf,"« Poussée ATB » apparaît souvent dans des builds au-dessus du percentile cible (66% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_BUFF_BONUS_EFFECT,nerf,"« Effet bonus » apparaît souvent dans des builds au-dessus du percentile cible (38% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_pas_PASSIVE_ATB_GAIN,nerf,"« Gain d’ATB passif » apparaît souvent dans des builds au-dessus du percentile cible (60% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s2_CONTROL_BR,nerf,"« Contrôle » apparaît souvent dans des builds au-dessus du percentile cible (57% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_EXTRA_CHANCE,nerf,"« Chance ++ » apparaît souvent dans des builds au-dessus du percentile cible (59% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s4_FULL_CLEANSE,nerf,"« Purif complète » apparaît souvent dans des builds au-dessus du percentile cible (82% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_act_HEAL,nerf,"« Soin » apparaît souvent dans des builds au-dessus du percentile cible (100% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s1_HEAL_AOE,nerf,"« Soin de zone » apparaît souvent dans des builds au-dessus du percentile cible (66% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_pas_HEAL_AURA,nerf,"« Aura de soin » apparaît souvent dans des builds au-dessus du percentile cible (93% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_pas_SPEED_AURA,nerf,"« Aura de vitesse » apparaît souvent dans des builds au-dessus du percentile cible (66% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_act_BUFF,nerf,"« Buff » apparaît souvent dans des builds au-dessus du percentile cible (67% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_BUFF_EXTRA_DURATION,nerf,"« Buff durable » apparaît souvent dans des builds au-dessus du percentile cible (42% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_MULTI_TARGET,nerf,"« Multi-cibles » apparaît souvent dans des builds au-dessus du percentile cible (67% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s2_act_SHIELD,nerf,"« Bouclier » apparaît souvent dans des builds au-dessus du percentile cible (48% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,support,support_s1_s3_EXTRA_DURATION,nerf,"« Durée ++ » apparaît souvent dans des builds au-dessus du percentile cible (44% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
high,assassin,assassin_s1_s3_LIGHT_SPLASH_DAMAGE,nerf,"« Splash léger » apparaît souvent dans des builds au-dessus du percentile cible (55% de builds marqués OP). Envisager : augmenter powerCost, réduire ratios/durées/chances, ou renforcer les exclusions d’arbre."
medium,dps,dps_s1_s2_BURST,buff,"« Burst » est souvent dans des builds sous la cible (62% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s1_s3_MORE_DAMAGE,buff,"« + dégâts » est souvent dans des builds sous la cible (64% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s1_s1_SINGLE_TARGET_HP_PERCENT_CD3,buff,"« Monocible % PV max » est souvent dans des builds sous la cible (71% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s2_mode_active,buff,"« Compétence 2 active » est souvent dans des builds sous la cible (42% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s2_act_ATK_BUFF,buff,"« Augmentation d’ATQ » est souvent dans des builds sous la cible (47% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s1_s1_SINGLE_TARGET_CD2,buff,"« Monocible » est souvent dans des builds sous la cible (61% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s1_s3_CD_REDUCTION,buff,"« −1 recharge » est souvent dans des builds sous la cible (52% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s2_pas_LIFESTEAL,buff,"« Vol de vie » est souvent dans des builds sous la cible (93% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
medium,dps,dps_s2_act_SPEED_BUFF,buff,"« Vitesse » est souvent dans des builds sous la cible (66% under). Envisager : baisser légèrement le CD, augmenter un ratio, ou réduire powerCost."
low,tank,tank_s1_s1_SHIELD,watch,« Bouclier » : delta moyen 5.9 vs cible — surveiller les synergies avec les branches voisines.
low,tank,tank_s1_s1_REGEN,watch,« Régénération » : delta moyen 5.5 vs cible — surveiller les synergies avec les branches voisines.
low,assassin,assassin_s2_mode_active,watch,« Compétence 2 active » : delta moyen 4.5 vs cible — surveiller les synergies avec les branches voisines.
low,assassin,assassin_s2_act_TANK,watch,« Tankbuster » : delta moyen 5.4 vs cible — surveiller les synergies avec les branches voisines.
low,assassin,assassin_s2_act_SILENCE,watch,« Silence » : delta moyen 5.2 vs cible — surveiller les synergies avec les branches voisines.
low,assassin,assassin_s2_act_ANTI_HEAL,watch,« Anti-soin » : delta moyen 5.2 vs cible — surveiller les synergies avec les branches voisines.
